n r phi z vr vphi vz mass charge
      0   2.169248  -0.069426   0.280170  8.060005e+06 -5.401249e+06  8.640118e+06 4.001 2
      1   1.721062  -1.255443  -0.373907  5.696556e+06 -1.083839e+07 -4.343664e+06 4.001 2
      2   1.876538  -2.232954   0.819654  1.023712e+07 -3.676030e+06 -7.104712e+06 4.001 2
      3   1.689570  -1.571126   0.739809  6.703043e+06  1.347348e+06 -1.104729e+07 4.001 2
      4   1.747921   1.002303   0.144084 -1.491159e+06  2.813108e+05  1.290295e+07 4.001 2
      5   1.929511  -2.574886   0.200933  6.619357e+06  5.584080e+06  9.684574e+06 4.001 2
      6   1.651634   0.518124   0.341084  4.679291e+06  7.620685e+06  9.424341e+06 4.001 2
      7   1.862467   1.019114  -0.768401 -5.398595e+06 -2.562637e+06 -1.153589e+07 4.001 2
      8   1.410722   2.224291  -0.038096 -7.615574e+06 -5.708759e+06 -8.843184e+06 4.001 2
      9   2.050702  -0.967863   0.666351  1.239958e+07 -1.835348e+06 -3.416228e+06 4.001 2
     10   1.936032   0.972300   0.727340  8.661997e+06  7.518506e+05  9.653669e+06 4.001 2
     11   1.466403  -1.793167  -0.555685 -5.296498e+06 -8.791073e+06  7.965736e+06 4.001 2
     12   2.013364  -0.937738  -0.141248  1.117248e+07 -3.136717e+06 -5.841697e+06 4.001 2
     13   2.188799  -0.376573  -0.637376 -3.596076e+06 -7.379156e+06  1.007001e+07 4.001 2
     14   1.466158  -0.391516   0.112275 -1.136258e+07 -1.448815e+06  6.130369e+06 4.001 2
     15   2.152443  -0.023489  -0.458129  1.161129e+07  3.844861e+06 -4.379921e+06 4.001 2
     16   1.692756  -1.639700  -1.020016  6.778745e+06 -7.585229e+06 -8.080948e+06 4.001 2
     17   2.230069  -0.654491   0.497008  1.610372e+06 -1.285268e+06 -1.282745e+07 4.001 2
     18   2.156514  -0.494495  -0.197223  6.552397e+06  1.120945e+07  4.506543e+05 4.001 2
     19   1.869792  -2.362591   0.359238 -2.917867e+06 -9.716523e+06  8.115666e+06 4.001 2
     20   1.766296  -2.649932  -0.857466 -5.166768e+06 -5.904043e+06  1.035546e+07 4.001 2
